movie_id,movie_title,domestic_total_gross,foreign_total_gross,opening_weekend,opening_weekend_limited,opening_weekend_wide,release_date,close_date,in_release_days,runtime_mins,rating,genre,distributor,director,producer,production_budget,widest_release_theaters,actors,writers,cinematographers,composers
bond24,Spectre,200074609,680600000,70403148,,,2015-11-06,2016-04-17,154,148,PG-13,Action,Sony / Columbia,Sam Mendes,"Barbara Broccoli,Michael G. Wilson",$245 million,"3,929","Daniel Craig,Christoph Waltz,Ralph Fiennes,Dave Bautista,Monica Bellucci,Lea Seydoux,Ben Whishaw,Naomie Harris",John Logan,,Thomas Newman
mi5,Mission: Impossible - Rogue Nation,195042377,487287762,55520089,,,2015-07-31,2016-10-17,91,130,PG-13,Action,Paramount,Christopher McQuarrie,"J.J. Abrams,Bryan Burk,Tom Cruise,David Ellison",$150 million,"3,988","Rebecca Ferguson,Tom Cruise,Jeremy Renner,Simon Pegg,Alec Baldwin,Ving Rhames,Rebecca Ferguson",Christopher McQuarrie,,
pitchperfect2,Pitch Perfect 2,184296230,103209964,69216890,,,2015-05-15,2016-07-17,,115,PG-13,Comedy,Universal,Elizabeth Banks,"Elizabeth Banks,Max Handelman,Jason Moore, ,(executive)",$29 million,"3,660","Anna Kendrick,Skylar Astin,Rebel Wilson,Adam DeVine,Anna Camp,Brittany Snow,Hailee Steinfeld,Katey Sagal,Elizabeth Banks,Keegan-Michael Key",Kay Cannon,,Mark Mothersbaugh
antman,Ant-Man,180202163,339109802,57225526,,,2015-07-17,2016-12-17,154,117,PG-13,Action / Adventure,Buena Vista,Peyton Reed,Kevin Feige,$130 million,"3,868","Chris Evans*,Judy Greer,Anthony Mackie*,Paul Rudd,Michael Douglas,Evangeline Lilly,Corey Stoll,John Slattery,Bobby Cannavale,Michael Pena,T.I.","Joe Cornish,Adam McKay,Paul Rudd,Edgar Wright",,Christophe Beck
happysmekday,Home (2015),177397510,208644097,52107731,,,2015-03-27,2016-09-17,168,94,PG,Animation,Fox,Tim Johnson,Mireille Soria,$135 million,"3,801","Jim Parsons ,(Voice),Rihanna, ,(Voice),Steve Martin, ,(Voice),Jennifer Lopez, ,(Voice)","Tom J. Astle,Matt Ember",,Lorne Balfe
hoteltransylvania2,Hotel Transylvania 2,169700110,303526848,48464322,,,2015-09-25,2016-03-17,161,89,PG,Animation,Sony / Columbia,Genndy Tartakovsky,"Allen Covert,Michelle Murdocca,Adam Sandler,Robert Smigel",$80 million,"3,768","Adam Sandler, ,(Voice),Andy Samberg, ,(Voice),Selena Gomez, ,(Voice),Kevin James, ,(Voice),Steve Buscemi ,(Voice),David Spade, ,(Voice),Keegan-Michael Key ,(Voice),Fran Drescher ,(Voice),Molly Shannon ,(Voice),Megan Mullally ,(Voice),Nick Offerman ,(Voice),Rob Riggle, ,(Voice),Mel Brooks ,(Voice),Chris Kattan* ,(Voice),Jon Lovitz* ,(Voice),Robert Smigel*, ,(Voice),Nick Swardson*, ,(Voice),Dana Carvey*, ,(Voice)","Adam Sandler,Robert Smigel",,Mark Mothersbaugh
fiftyshadesofgrey,Fifty Shades of Grey,166167230,404838898,85171450,,,2015-02-13,2016-05-17,84,125,R,Romance,Universal,Sam Taylor-Johnson,"Dana Brunetti,Michael De Luca,E.L. James,Peter Schlessel, ,(executive)",$40 million,"3,655","Dakota Johnson,Jamie Dornan,Jennifer Ehle,Marcia Gay Harden",Kelly Marcel,,Danny Elfman
spongebob2,The SpongeBob Movie: Sponge Out of Water,162994032,160442506,55365012,,,2015-02-06,2016-05-17,112,93,PG,Animation,Paramount,,"Mary Parent,Paul Tibbitt",$74 million,"3,680",Antonio Banderas,"Jonathan Aibel,Glenn Berger,Paul Tibbitt",,John Debney
straightouttacompton,Straight Outta Compton,161197785,40437206,60200180,,,2015-08-14,2016-10-17,,147,R,Drama,Universal,F. Gary Gray,"Matt Alvarez,Ice Cube,Will Packer, ,(executive)",$28 million,"3,142","Corey Hawkins,Aldis Hodge,Jason Mitchell,Keith Stanfield",,,
sanandreas,San Andreas,155190832,318800000,54588173,,,2015-05-29,2016-10-17,140,114,PG-13,Action,Warner Bros. (New Line),Brad Peyton,"Beau Flynn,Tripp Vinson, ,(executive)",$110 million,"3,812","Alexandra Daddario,Paul Giamatti,Ioan Gruffudd,Carla Gugino,Dwayne Johnson",Carlton Cuse,,Andrew Lockington
