,movie_id,movie_title,domestic_total_gross,foreign_total_gross,opening_weekend,opening_weekend_limited,opening_weekend_wide,release_date,close_date,in_release_days,runtime_mins,rating,genre,distributor,director,producer,production_budget,widest_release_theaters,actors,writers,cinematographers,composers,actorlist,winner,nomination
114,adamjones,Burnt,13651946.0,22954797,5002521.0,,,2015-10-30,2016-02-17,105.0,100.0,R,Comedy,Weinstein Company,John Wells,"Michael Shamberg,Stacey Sher",$20 million,"3,003","Omar Sy,Bradley Cooper,Sienna Miller,Alicia Vikander,Jamie Dornan,Lily James,Emma Thompson,Daniel Bruhl",Steven Knight,,,"['Omar Sy', 'Bradley Cooper', 'Sienna Miller', 'Alicia Vikander', 'Jamie Dornan', 'Lily James', 'Emma Thompson', 'Daniel Bruhl']",2.0,6.0
115,doyoubelieve,Do You Believe?,12985600.0,n/a,3591282.0,,,2015-03-20,2016-06-17,98.0,120.0,PG-13,Drama,Pure Flix,,,,"1,356","Sean Astin,Delroy Lindo,Mira Sorvino",,,,"['Sean Astin', 'Delroy Lindo', 'Mira Sorvino']",1.0,0.0
116,loveandmercy,Love & Mercy,12551031.0,16090745,,2122177.0,1752417.0,2015-06-05,2016-10-17,119.0,121.0,PG-13,Music Drama,Roadside Attractions,,,,791,"John Cusack,Paul Dano,Elizabeth Banks,Paul Giamatti,Kenny Wormald",,,,"['John Cusack', 'Paul Dano', 'Elizabeth Banks', 'Paul Giamatti', 'Kenny Wormald']",0.0,1.0
117,strangemagic,Strange Magic,12429583.0,1173870,5504441.0,,,2015-01-23,2016-04-17,84.0,99.0,PG,Animation,Buena Vista,,"George Lucas, ,(executive)",,"3,020","Tony Cox*, ,(Voice),Alan Cumming ,(Voice),Evan Rachel Wood ,(Voice),Kristin Chenoweth ,(Voice),Maya Rudolph ,(Voice)","George Lucas, ,(story)",,,"['Tony Cox*', ' ', '(Voice)', 'Alan Cumming ', '(Voice)', 'Evan Rachel Wood ', '(Voice)', 'Kristin Chenoweth ', '(Voice)', 'Maya Rudolph ', '(Voice)']",0.0,0.0
118,hottub2,Hot Tub Time Machine 2,12314651.0,767000,5963324.0,,,2015-02-20,2016-03-17,35.0,93.0,R,Comedy,Paramount,Steve Pink,Andrew Panay,$14 million,"2,901","Adam Scott,Clark Duke,Rob Corddry,Craig Robinson,Chevy Chase,Gillian Jacobs",Josh Heald,,Christophe Beck,"['Adam Scott', 'Clark Duke', 'Rob Corddry', 'Craig Robinson', 'Chevy Chase', 'Gillian Jacobs']",0.0,0.0
119,selfless,Self/Less,12279691.0,18243535,5403460.0,,,2015-07-10,2016-08-17,49.0,117.0,PG-13,Sci-Fi Thriller,Focus Features,Tarsem,"Ram Bergman,Peter Schlessel,James D. Stern",$26 million,"2,353","Ryan Reynolds,Matthew Goode,Ben Kingsley,Michelle Dockery,Derek Luke",,,,"['Ryan Reynolds', 'Matthew Goode', 'Ben Kingsley', 'Michelle Dockery', 'Derek Luke']",1.0,3.0
120,maddingcrowd,Far from the Madding Crowd,12236500.0,17993477,,164985.0,2287234.0,2015-05-01,2016-08-17,105.0,119.0,PG-13,Drama,Fox Searchlight,Thomas Vinterberg,,,902,"Carey Mulligan,Matthias Schoenaerts,Michael Sheen,Tom Sturridge,Juno Temple",David Nicholls,,,"['Carey Mulligan', 'Matthias Schoenaerts', 'Michael Sheen', 'Tom Sturridge', 'Juno Temple']",0.0,1.0
121,33,The 33,12227722.0,12675001,5787266.0,,,2015-11-13,2016-01-17,70.0,120.0,PG-13,Drama,Warner Bros.,,,,"2,452","Antonio Banderas,Rodrigo Santoro,Juliette Binoche,Gabriel Byrne",,,James Horner,"['Antonio Banderas', 'Rodrigo Santoro', 'Juliette Binoche', 'Gabriel Byrne']",1.0,1.0
122,foxcatcher,Foxcatcher,12096300.0,n/a,,270877.0,980000.0,2014-11-14,2016-03-17,115.0,134.0,R,Drama,Sony Classics,Bennett Miller,Megan Ellison,,759,"Steve Carell,Mark Ruffalo,Channing Tatum",,,,"['Steve Carell', 'Mark Ruffalo', 'Channing Tatum']",0.0,4.0
123,gunman2015,The Gunman,10664749.0,13512388,5028702.0,,,2015-03-20,2016-04-17,42.0,115.0,R,Thriller,Open Road Films,Pierre Morel,"Sean Penn,Joel Silver",$40 million,"2,816","Mark Rylance,Sean Penn,Javier Bardem,Idris Elba,Ray Winstone","Don Macpherson,Pete Travis",,,"['Mark Rylance', 'Sean Penn', 'Javier Bardem', 'Idris Elba', 'Ray Winstone']",4.0,5.0
