name,meanScore
Gerard Depardieu,
Jeremy Irons,
Bruce Davison,
Andy Garcia,
Graham Greene,
Kathy Bates,
Annette Bening,
Lorraine Bracco,
Mary McDonnell,
Anthony Hopkins,
Nick Nolte,
Tommy Lee Jones,
Harvey Keitel,
Michael Lerner,
Laura Dern,
Juliette Lewis,
Kate Nelligan,
Mercedes Ruehl,
Robert Downey Jr.,
Clint Eastwood,
Stephen Rea,
Jaye Davidson,
David Paymer,
Catherine Deneuve,
Emma Thompson,
Joan Plowright,
Miranda Richardson,
Marisa Tomei,
Daniel Day-Lewis,
Laurence Fishburne,
Liam Neeson,
Leonardo DiCaprio,
Ralph Fiennes,
Pete Postlethwaite,
Angela Bassett,
Stockard Channing,
Anna Paquin,
Rosie Perez,
Winona Ryder,
Nigel Hawthorne,
Samuel L. Jackson,
Chazz Palminteri,
Gary Sinise,
Rosemary Harris,
Helen Mirren,
Uma Thurman,
Jennifer Tilly,
Nicolas Cage,
Sean Penn,
Massimo Troisi,
James Cromwell,
Ed Harris,
Brad Pitt,
Tim Roth,
Kevin Spacey,
Elisabeth Shue,
Sharon Stone,
Joan Allen,
Kathleen Quinlan,
Mira Sorvino,
Mare Winningham,
Kate Winslet,
Woody Harrelson,
Geoffrey Rush,
Billy Bob Thornton,
"Cuba Gooding, Jr.",
William H. Macy,
Armin Mueller-Stahl,
Edward Norton,
Brenda Blethyn,
Kristin Scott Thomas,
Emily Watson,
Lauren Bacall,
Juliette Binoche,
Barbara Hershey,
Marianne Jean-Baptiste,
Matt Damon,
Peter Fonda,
Robert Forster,
Greg Kinnear,
Burt Reynolds,
Helena Bonham Carter,
Judi Dench,
Helen Hunt,
Kim Basinger,
Minnie Driver,
Julianne Moore,
Gloria Stuart,
Roberto Benigni,
Ian McKellen,
James Coburn,
Cate Blanchett,
Fernanda Montenegro,
Gwyneth Paltrow,
Rachel Griffiths,
Russell Crowe,
Michael Clarke Duncan,
Jude Law,
Haley Joel Osment,
Janet McTeer,
Hilary Swank,
Toni Collette,
